Machinery Model,Illustration Path
"F4355IHSC - Sentry Horizontal Shaft Impactor","/data/sentry_horizontal_shaft_impactor_f4355ihsc.svg"
"F6163IBS - Anthem Inclined Screen","/data/anthem_inclined_screen_f6163ibs.svg"
"TF4016-387 - Vibrating Grizzly Feeder","/data/vibrating_grizzly_feeder_tf4016-387.svg"
"P-250 - Primary Crushing Unit","/data/p250_general_arrangement.svg"
"P-250 - Primary Crushing Unit (Structural)","/data/primary_crushing_unit_p250_structural.svg"
"P-250 - Walkway Arrangement","/data/p250_walkway_arrangement.svg"
"BT-48 x 9 MTS - Belt Conveyor","/data/belt_conveyor_bt48_9mts.svg"
"Skid 616 - Screening Module","/data/screening_module_skid_616.svg"
"TF Series - Grizzly Feeder (General)","/data/tf_series_grizzly_feeder.svg"
"TF4010 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF4012 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF4014 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF4016 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF4616 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF4620 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF5217 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF5220 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF5224 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF5820 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF5824 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF6420 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF6424 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF7220 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
"TF7224 - Grizzly Feeder","/data/tf_series_grizzly_feeder.svg"
